impl	case	pipeline	type	time	score
extend-minipass-current	slow-fast	1	obj	8.198750019073486	3945.5926676272716
minipass-v3	fast-fast	1	str	8.173666954040527	3957.700765257398
minipass-current	fast-slow	1	obj	8.142207860946655	3972.992155373966
minipass-current-async	fast-fast	1	obj	8.046792030334473	4020.102400685592
minipass-latest	fast-slow	1	obj	7.9867918491363525	4050.3031217050357
minipass-current	fast-mixed	1	obj	7.978666067123413	4054.428107006641
extend-minipass-current	fast-mixed	1	obj	7.946000099182129	4071.095841327127
extend-minipass-current	fast-slow	1	obj	7.943833112716675	4072.206389530059
minipass-v5	fast-slow	1	obj	7.893208026885986	4098.324515048609
baseline	slow-fast	20	str	7.890166997909546	4099.904091705025
minipass-v3	fast-slow	1	obj	7.883208990097046	4103.522816609619
minipass-v5	fast-mixed	1	obj	7.881624937057495	4104.347544738961
baseline	slow-slow	20	str	7.878582954406738	4105.932265506138
minipass-latest	fast-mixed	1	obj	7.872082948684692	4109.322547772483
baseline	slow-fast	1	str	7.863041877746582	4114.04752281899
minipass-v4	fast-mixed	1	obj	7.822416067123413	4135.41387742383
baseline	slow-slow	1	str	7.789834022521973	4152.710810710223
minipass-v4	fast-slow	1	obj	7.75220799446106	4172.866360407069
baseline	slow-slow	20	defaults	7.742792129516602	4177.94090527714
baseline	slow-slow	1	defaults	7.716665983200073	4192.086067920011
baseline	slow-fast	1	defaults	7.663082838058472	4221.398703705161
minipass-current	slow-fast	1	obj	7.646499872207642	4230.553651945038
baseline	slow-fast	20	defaults	7.421875	4358.592398681641
core-extend-transform	fast-fast	1	obj	6.487624883651733	4986.251292130324
core-passthrough	fast-fast	1	obj	6.425541877746582	5034.428002251224
baseline	slow-slow	1	obj	5.735374927520752	5640.2464298788
baseline	slow-fast	1	obj	5.66966700553894	5705.613385647208
baseline	slow-fast	20	obj	5.565249919891357	5812.664017718867
baseline	slow-slow	20	obj	5.557208061218262	5821.075547758726
minipass-v4	fast-fast	1	obj	5.3687920570373535	6025.364293363287
extend-minipass-current	fast-fast	1	obj	5.323959112167358	6076.103756138015
minipass-v5	fast-fast	1	obj	5.296582937240601	6107.509000098535
minipass-current	fast-fast	1	obj	5.270291805267334	6137.976634734822
minipass-latest	fast-fast	1	obj	5.223582983016968	6192.861885058373
minipass-v3	fast-fast	1	obj	5.094624996185303	6349.619056002586
baseline	fast-mixed	1	defaults	3.6327500343322754	8904.804253869137
baseline	fast-mixed	20	defaults	3.5595409870147705	9087.949282498617
baseline	fast-slow	20	defaults	3.558332920074463	9091.034674262113
baseline	fast-slow	1	defaults	3.533208131790161	9155.68139558627
baseline	fast-fast	1	defaults	3.3990838527679443	9516.954967916694
baseline	fast-fast	20	defaults	3.3317079544067383	9709.412830190731
baseline	fast-mixed	1	str	2.7679169178009033	11687.102221502504
baseline	fast-slow	20	str	2.7277917861938477	11859.016557895911
baseline	fast-slow	1	str	2.6589999198913574	12165.825097236944
baseline	fast-fast	1	str	2.658750057220459	12166.968411007347
baseline	fast-mixed	20	str	2.654458999633789	12186.636886622917
baseline	fast-fast	20	str	2.5267090797424316	12802.790878585394
baseline	fast-fast	1	obj	1.8272500038146973	17703.61356761876
baseline	fast-slow	20	obj	1.825958013534546	17716.140086018073
baseline	fast-mixed	1	obj	1.7796669006347656	18176.956568348378
baseline	fast-mixed	20	obj	1.7744169235229492	18230.736829729587
baseline	fast-slow	1	obj	1.7267498970031738	18733.997329380378
baseline	fast-fast	20	obj	1.6895420551300049	19146.56569852365
